"","latitude","longitude","block","growthrate","pupaltime","larvaltime","totaltime","pupalweight","adultweight","latitude","longitude","block","ccrt","latitude","longitude","block","hkt","latitude","longitude","block","starvation","latitude","longitude","block","desi"
"1",18.748,109.163,1,2.56451612903226,13.258064516129,19.5322580645161,32.7903225806452,255.903225806452,155.812903225806,18.748,109.163,1,1478,18.748,109.163,1,499.533333333333,18.748,109.163,1,292.56,18.748,109.163,1,121.666666666667
"2",18.748,109.163,2,2.59682352941176,13.4117647058824,19.3294117647059,32.7411764705882,261.074117647059,148.369529411765,18.748,109.163,2,1378.28,18.748,109.163,2,438.833333333333,18.748,109.163,2,265.2,18.748,109.163,2,118.826086956522
"3",18.748,109.163,3,2.58258064516129,13.5,20.1612903225806,33.6612903225806,269.116129032258,156.767741935484,18.748,109.163,3,1427.84,18.748,109.163,3,570.733333333333,18.748,109.163,3,314.2,18.748,109.163,3,115.4
"4",23.16,114.36,1,2.59,14.8636363636364,22.8636363636364,37.7272727272727,306.406818181818,190.779545454545,23.16,114.36,1,1488.66666666667,23.16,114.36,1,408,23.16,114.36,1,334.285714285714,23.16,114.36,1,161.733333333333
"5",23.16,114.36,2,2.50775,15.125,24.625,39.75,302.62,191.3725,23.16,114.36,2,1502.2,23.16,114.36,2,440.566666666667,23.16,114.36,2,345.379310344828,23.16,114.36,2,163.133333333333
"6",23.16,114.36,3,2.60837209302326,15.2325581395349,22.2790697674419,37.5116279069767,302.676744186047,189.237209302326,23.16,114.36,3,1153.73333333333,23.16,114.36,3,502.166666666667,23.16,114.36,3,396,23.16,114.36,3,141.030303030303
"7",29.169,115.593,1,2.67737132669091,12.7454545454545,17.8181818181818,30.5636363636364,266.612727272727,201.061818181818,29.169,115.593,1,1424.66666666667,29.169,115.593,1,455.6,29.169,115.593,1,337.9,29.169,115.593,1,138.8
"8",29.169,115.593,2,2.73503240872549,12.6274509803922,17.3921568627451,30.0196078431373,271.686274509804,197.637254901961,29.169,115.593,2,1454.11538461538,29.169,115.593,2,472.65,29.169,115.593,2,305.3,29.169,115.593,2,123.7
"9",29.169,115.593,3,2.724170722,12.5102040816327,17.3673469387755,29.8775510204082,267.14693877551,197.608163265306,29.169,115.593,3,1413.53846153846,29.169,115.593,3,461.35,29.169,115.593,3,300.9,29.169,115.593,3,110.7
"10",31.87,117.203,1,2.54527027027027,12.4324324324324,23.2702702702703,35.7027027027027,297.452702702703,192.566216216216,31.87,117.203,1,1468,31.87,117.203,1,505.136363636364,31.87,117.203,1,259.923076923077,31.87,117.203,1,134.6
"11",31.87,117.203,2,2.56697368421053,12.75,21.6052631578947,34.3552631578947,283.123684210526,176.547368421053,31.87,117.203,2,1470.13333333333,31.87,117.203,2,522.5,31.87,117.203,2,308,31.87,117.203,2,135.757575757576
"12",31.87,117.203,3,2.58638888888889,12.6388888888889,21.7083333333333,34.3472222222222,289.769444444444,186.877777777778,31.87,117.203,3,1079.13333333333,31.87,117.203,3,538.727272727273,31.87,117.203,3,262.357142857143,31.87,117.203,3,129.4
"13",36.2,117.0844,1,2.68857142857143,13,20,33,295.461904761905,189.719047619048,36.2,117.0844,1,1360.85714285714,36.2,117.0844,1,426.8,36.2,117.0844,1,245.866666666667,36.2,117.0844,1,94.6666666666667
"14",36.2,117.0844,2,2.72076923076923,12.7692307692308,20,32.3846153846154,306.15,188.384615384615,36.2,117.0844,2,1189,36.2,117.0844,2,385.4,36.2,117.0844,2,234.933333333333,36.2,117.0844,2,83.6
"15",36.2,117.0844,3,2.74333333333333,12.7083333333333,21,33.7083333333333,327.825,208.233333333333,36.2,117.0844,3,1209.51724137931,36.2,117.0844,3,431.423076923077,36.2,117.0844,3,265.860465116279,36.2,117.0844,3,111.512195121951
"16",39.433,116.8744,1,2.61353846153846,12.9846153846154,21.3538461538462,34.3384615384615,292.912307692308,185.727692307692,39.433,116.8744,1,1235.96666666667,39.433,116.8744,1,481.166666666667,39.433,116.8744,1,223.8,39.433,116.8744,1,125.533333333333
"17",39.433,116.8744,2,2.658,13.1,20.7833333333333,33.8833333333333,296.783333333333,190.876666666667,39.433,116.8744,2,936.967741935484,39.433,116.8744,2,439.038461538462,39.433,116.8744,2,201.2,39.433,116.8744,2,118.266666666667
"18",39.433,116.8744,3,2.69095238095238,12.952380952381,19.3571428571429,32.3095238095238,288.366666666667,182.683333333333,39.433,116.8744,3,1036.72972972973,39.433,116.8744,3,443.538461538462,39.433,116.8744,3,220.769230769231,39.433,116.8744,3,120.146341463415
"19",41.758,120.012,1,2.60911152279545,12.8181818181818,22.0681818181818,34.8863636363636,300.790909090909,192.436363636364,41.12,41.12,1,1029.86666666667,41.12,41.12,1,530.533333333333,41.12,41.12,1,293,41.12,41.12,1,156.5
"20",41.758,120.012,2,2.58526228344,12.74,21.72,34.46,289.132,184.196,41.12,41.12,2,1078.76666666667,41.12,41.12,2,460.066666666667,41.12,41.12,2,323.4,41.12,41.12,2,149.6
"21",41.758,120.012,3,2.58950995653333,12.7666666666667,21.9166666666667,34.6833333333333,293.468333333333,193.78,41.12,41.12,3,1133.77419354839,41.12,41.12,3,509.933333333333,41.12,41.12,3,305.2,41.12,41.12,3,149.723076923077
